id,common_name,scientific_name,category,subcategory,climate_zone,hardiness_zone,functions,mature_height_m,mature_spread_m,sun_requirement,water_requirement,soil_preference,pc_zone_suitability,growth_rate,lifespan_type,yield_type,harvest_season,good_companions,avoid_near,icon_key,notes
apple_standard,Apple (standard),Malus domestica,tree,fruit_tree,temperate,"RHS H6, USDA 4-8",edible;pollinator_attractor,6,5,full_sun,medium,well_drained;tolerant_poor_soil,2;3,medium,perennial,fruit,autumn,comfrey;chives;daffodil;nasturtium,,icon_tree_apple_std,Choose rootstock to control eventual size
apple_dwarf,Apple (dwarf/espalier),Malus domestica,tree,fruit_tree,temperate,"RHS H6, USDA 4-8",edible;pollinator_attractor,2.5,2,full_sun,medium,well_drained,1;2,medium,perennial,fruit,autumn,comfrey;chives,,icon_tree_apple_dwarf,Good for small gardens / trained against walls
pear_standard,Pear,Pyrus communis,tree,fruit_tree,temperate,"RHS H6, USDA 4-8",edible;pollinator_attractor,8,5,full_sun,medium,well_drained,2;3,slow,perennial,fruit,autumn,comfrey;chives,,icon_tree_pear,Slower to establish than apple
plum_standard,Plum,Prunus domestica,tree,fruit_tree,temperate,"RHS H6, USDA 5-8",edible;pollinator_attractor,5,4,full_sun,medium,well_drained;tolerant_poor_soil,2;3,medium,perennial,fruit,summer,chives;garlic,,icon_tree_plum,Prune in summer to avoid silver leaf disease
cherry_sour,Cherry (sour/Morello),Prunus cerasus,tree,fruit_tree,temperate,"RHS H6, USDA 4-8",edible;pollinator_attractor,4,4,partial_shade,medium,well_drained,2;3,medium,perennial,fruit,summer,,,icon_tree_cherry_sour,Tolerates more shade than sweet cherry
walnut_common,Walnut (common),Juglans regia,tree,nut_tree,temperate,"RHS H6, USDA 5-9",edible;timber,18,12,full_sun,medium,well_drained,3;4,slow,perennial,nut,autumn,,apple_standard;tomato;most_solanaceae;apple_dwarf;pear_standard;plum_standard;blueberry_highbush,icon_tree_walnut,"Produces juglone — allelopathic to many species, keep clear zone"
hazel_cobnut,Hazel / Cobnut,Corylus avellana,tree,nut_tree,temperate,"RHS H7, USDA 4-9",edible;windbreak;coppice,5,4,partial_shade,medium,tolerant_poor_soil,2;3,medium,perennial,nut,autumn,hawthorn_hedge;blackthorn_sloe;dogwood_common;spindle;guelder_rose,,icon_tree_hazel,"Coppices well, good hedge/windbreak component"
alder_common,Alder (common),Alnus glutinosa,tree,nitrogen_fixer_tree,temperate,"RHS H7, USDA 3-7",nitrogen_fixer;windbreak;erosion_control,20,8,full_sun,high,tolerant_poor_soil,3;4;5,fast,perennial,wood,n_a,,,icon_tree_alder,"Good on wet ground, pioneer species"
sea_buckthorn,Sea Buckthorn,Hippophae rhamnoides,tree,nitrogen_fixer_tree,temperate,"RHS H7, USDA 3-7",nitrogen_fixer;edible;windbreak;erosion_control,4,3,full_sun,low,tolerant_poor_soil,3;4,fast,perennial,fruit,autumn,,,icon_tree_sea_buckthorn,Thorny — good stock-proof windbreak hedge
rowan,Rowan / Mountain Ash,Sorbus aucuparia,tree,native_amenity,temperate,"RHS H7, USDA 3-7",pollinator_attractor;habitat,8,5,full_sun,medium,tolerant_poor_soil,3;4;5,medium,perennial,none,n_a,,,icon_tree_rowan,"Good for wildlife, berries for birds"
elder,Elder,Sambucus nigra,tree,native_amenity,temperate,"RHS H6, USDA 4-8",edible;medicinal;pollinator_attractor,5,4,full_sun,medium,tolerant_poor_soil,2;3;4,fast,perennial,flower;fruit,summer;autumn,,grape_vine,icon_tree_elder,"Flowers and berries both used, fast pioneer"
willow_coppice,Willow (coppice/basket),Salix viminalis,tree,coppice,temperate,"RHS H7, USDA 4-9",erosion_control;windbreak,5,3,full_sun,high,tolerant_poor_soil,3;4,fast,perennial,wood,n_a,,,icon_tree_willow,"Good for wet zones, biomass, basketry material"
blackcurrant,Blackcurrant,Ribes nigrum,shrub,fruit_shrub,temperate,"RHS H6, USDA 3-8",edible,1.5,1.5,partial_shade,medium,tolerant_poor_soil,1;2,medium,perennial,fruit,summer,nasturtium;chives,,icon_shrub_blackcurrant,Tolerates some shade well
gooseberry,Gooseberry,Ribes uva-crispa,shrub,fruit_shrub,temperate,"RHS H6, USDA 3-8",edible,1.2,1.2,partial_shade,medium,tolerant_poor_soil,1;2,medium,perennial,fruit,summer,nasturtium;chives,,icon_shrub_gooseberry,"Thorny, good understorey layer"
raspberry,Raspberry,Rubus idaeus,shrub,fruit_cane,temperate,"RHS H6, USDA 3-9",edible,1.8,0.6,full_sun,medium,well_drained,1;2,fast,perennial,fruit,summer,chives,,icon_shrub_raspberry,"Spreads by suckers, contain with root barrier"
blackberry,Blackberry (cultivated),Rubus fruticosus,shrub,fruit_cane,temperate,"RHS H6, USDA 4-8",edible,2,2,full_sun,medium,tolerant_poor_soil,2;3,fast,perennial,fruit,autumn,chives,,icon_shrub_blackberry,Vigorous — good boundary hedge component
lavender,Lavender,Lavandula angustifolia,shrub,herb_shrub,temperate;mediterranean,"RHS H4, USDA 5-9",pollinator_attractor;medicinal;pest_repellent,0.6,0.6,full_sun,low,well_drained,1;2,medium,perennial,flower,summer,yarrow;rugosa_rose;santolina,,icon_shrub_lavender,"Deters some pests, needs sharp drainage"
rosemary,Rosemary,Salvia rosmarinus,shrub,herb_shrub,temperate;mediterranean,"RHS H4, USDA 7-10",pollinator_attractor;edible;pest_repellent,1.2,1,full_sun,low,well_drained,1,slow,perennial,leaf,year_round,yarrow;sage_common;santolina;marjoram;savory_winter,,icon_shrub_rosemary,Borderline hardy in cold UK winters
hawthorn_hedge,Hawthorn (hedging),Crataegus monogyna,shrub,hedge,temperate,"RHS H7, USDA 4-8",windbreak;habitat;pollinator_attractor,4,3,full_sun,medium,tolerant_poor_soil,3;4;5,medium,perennial,none,n_a,blackthorn_sloe;dogwood_common;spindle;guelder_rose;hazel_cobnut,,icon_shrub_hawthorn,Classic stock-proof native hedge species
comfrey,Comfrey,Symphytum officinale,herb,dynamic_accumulator,temperate,"RHS H6, USDA 3-9",dynamic_accumulator;pollinator_attractor;mulch_producer,1,1,partial_shade,medium,tolerant_poor_soil,1;2,fast,perennial,leaf,summer,apple_standard;most_fruit_trees,,icon_herb_comfrey,"Chop-and-drop mulch classic, deep taproot"
yarrow,Yarrow,Achillea millefolium,herb,dynamic_accumulator,temperate,"RHS H7, USDA 3-9",dynamic_accumulator;pollinator_attractor;pest_repellent,0.6,0.5,full_sun,low,tolerant_poor_soil,1;2;3,medium,perennial,flower,summer,rosemary;lavender;sage_common;thyme_common;oregano;santolina,,icon_herb_yarrow,"Good guild support plant, attracts beneficial insects"
chives,Chives,Allium schoenoprasum,herb,allium,temperate,"RHS H7, USDA 3-9",pollinator_attractor;pest_repellent;edible,0.3,0.2,full_sun,medium,well_drained,1,medium,perennial,leaf;flower,summer,apple_standard;carrot;crab_apple;rugosa_rose;blueberry_highbush;raspberry;blackberry;redcurrant;gooseberry;jostaberry,,icon_herb_chives,Classic fruit-tree guild companion
mint,Mint,Mentha spicata,herb,spreading_herb,temperate,"RHS H7, USDA 3-9",pollinator_attractor;edible,0.5,0.6,partial_shade,high,tolerant_poor_soil,1,fast,perennial,leaf,summer,,most_herbs,icon_herb_mint,Highly invasive — always contain in a pot or barrier
fennel,Fennel (herb),Foeniculum vulgare,herb,umbellifer,temperate,"RHS H6, USDA 4-9",pollinator_attractor;edible,1.5,0.5,full_sun,medium,well_drained,1;2,medium,perennial,leaf;seed,summer,,most_vegetables;field_beans;vetch_common,icon_herb_fennel,"Allelopathic to many vegetables, keep isolated"
borage,Borage,Borago officinalis,herb,annual_companion,temperate,"RHS H6, USDA 2-11",pollinator_attractor;dynamic_accumulator;edible,0.8,0.5,full_sun,medium,tolerant_poor_soil,1;2,fast,annual,flower;leaf,summer,strawberry;tomato;alpine_strawberry,,icon_herb_borage,"Self-seeds readily, strong bee plant"
stinging_nettle,Nettle,Urtica dioica,herb,dynamic_accumulator,temperate,"RHS H7, USDA 3-10",dynamic_accumulator;habitat,1.2,0.8,partial_shade,medium,tolerant_poor_soil,3;4;5,fast,perennial,leaf,spring,blackcurrant;gooseberry;comfrey,,icon_herb_nettle,"Butterfly larval host, liquid feed source, keep out of Zone 1"
sorrel,Sorrel,Rumex acetosa,herb,salad_perennial,temperate,"RHS H7, USDA 3-8",edible,0.6,0.4,partial_shade,medium,tolerant_poor_soil,1;2,medium,perennial,leaf,spring;summer,,,icon_herb_sorrel,"Perennial salad leaf, low maintenance"
rhubarb,Rhubarb,Rheum rhabarbarum,herb,perennial_vegetable,temperate,"RHS H7, USDA 3-8",edible,1,1.2,partial_shade,medium,well_drained,1;2,medium,perennial,leaf_stalk,spring,,,icon_herb_rhubarb,"Leaves toxic, only stalks edible"
lovage,Lovage,Levisticum officinale,herb,perennial_vegetable,temperate,"RHS H6, USDA 4-8",edible;pollinator_attractor,1.8,1,full_sun,medium,well_drained,1;2,medium,perennial,leaf,summer,,,icon_herb_lovage,"Celery-like flavour, very productive perennial"
white_clover,White Clover,Trifolium repens,groundcover,nitrogen_fixer_cover,temperate,"RHS H7, USDA 4-8",nitrogen_fixer;pollinator_attractor;erosion_control,0.15,0.3,full_sun,medium,tolerant_poor_soil,1;2;3,fast,perennial,none,n_a,black_locust,,icon_ground_white_clover,Living mulch / orchard floor cover
strawberry,Strawberry,Fragaria x ananassa,groundcover,fruit_groundcover,temperate,"RHS H6, USDA 4-8",edible;pollinator_attractor,0.2,0.3,full_sun,medium,well_drained,1,medium,perennial,fruit,summer,borage;welsh_onion,,icon_ground_strawberry,Good orchard-floor / guild groundcover
nasturtium,Nasturtium,Tropaeolum majus,groundcover,annual_companion,temperate,"RHS H3, USDA 9-11",edible;pest_repellent;pollinator_attractor,0.3,1,full_sun,low,tolerant_poor_soil,1;2,fast,annual,flower;leaf,summer,apple_standard;most_brassicas,,icon_ground_nasturtium,Trap crop for aphids/blackfly
creeping_thyme,Creeping Thyme,Thymus serpyllum,groundcover,herb_groundcover,temperate,"RHS H5, USDA 4-9",pollinator_attractor;edible,0.05,0.4,full_sun,low,well_drained,1,slow,perennial,leaf,summer,,,icon_ground_thyme,Good path-edge / dry bank cover
grape_vine,Grape Vine,Vitis vinifera,vine,fruit_vine,temperate;mediterranean,"RHS H5, USDA 6-9",edible,3,3,full_sun,low,well_drained,1;2,medium,perennial,fruit,autumn,,elder,icon_vine_grape,"Needs support structure, good on south wall"
kiwi_hardy,Hardy Kiwi,Actinidia arguta,vine,fruit_vine,temperate,"RHS H5, USDA 4-8",edible,6,4,full_sun,medium,well_drained,1;2,fast,perennial,fruit,autumn,,,icon_vine_kiwi,"Vigorous, needs strong sturdy support"
hops,Hops,Humulus lupulus,vine,utility_vine,temperate,"RHS H7, USDA 3-8",edible,6,1,full_sun,medium,well_drained,1;2,fast,perennial,flower,autumn,,,icon_vine_hops,"Dies back annually, needs tall support"
vetch_common,Common Vetch,Vicia sativa,grass_cover_crop,nitrogen_fixer_cover,temperate,"RHS H7, USDA 3-8",nitrogen_fixer;erosion_control,0.6,0.4,full_sun,medium,tolerant_poor_soil,3;4,fast,annual,none,n_a,,fennel,icon_cover_vetch,"Green manure / cover crop, dig in before flowering"
phacelia,Phacelia,Phacelia tanacetifolia,grass_cover_crop,pollinator_cover,temperate,"RHS H3, USDA 2-11",pollinator_attractor;erosion_control,0.9,0.3,full_sun,medium,tolerant_poor_soil,3;4,fast,annual,flower,summer,,,icon_cover_phacelia,Excellent bee forage green manure
red_clover,Red Clover,Trifolium pratense,grass_cover_crop,nitrogen_fixer_cover,temperate,"RHS H7, USDA 4-8",nitrogen_fixer;pollinator_attractor,0.5,0.4,full_sun,medium,tolerant_poor_soil,3;4,fast,perennial,none,n_a,siberian_pea_shrub,,icon_cover_red_clover,"Deeper-rooted than white clover, good ley crop"
wine_cap_mushroom,Wine Cap Mushroom,Stropharia rugosoannulata,fungi,cultivated_fungi,temperate,n_a,edible;mulch_producer,0.15,0.15,partial_shade,high,n_a,1;2,fast,perennial,fungi,summer;autumn,,,icon_fungi_winecap,"Grown on wood-chip beds, improves soil structure"
shiitake_log,Shiitake (log-grown),Lentinula edodes,fungi,cultivated_fungi,temperate,n_a,edible,0.1,0.1,partial_shade,medium,n_a,1;2,medium,perennial,fungi,spring;autumn,,,icon_fungi_shiitake,"Inoculated hardwood logs, shaded spot needed"
chicken_system,Chickens (small flock),,animal_system,poultry,temperate,n_a,fodder;pest_repellent,0.5,0.5,full_sun,medium,n_a,1;2,n_a,permanent_structure,eggs,year_round,,,icon_animal_chickens,Pair with orchard for pest control + manure cycling
duck_system,Ducks (small flock),,animal_system,poultry,temperate,n_a,pest_repellent,0.4,0.4,partial_shade,high,n_a,1;2,n_a,permanent_structure,eggs,year_round,,,icon_animal_ducks,"Good slug control, needs water access"
beehive,Beehive,,animal_system,apiary,temperate,n_a,pollinator_attractor,1.2,0.8,full_sun,low,n_a,2;3,n_a,permanent_structure,honey,summer,,,icon_animal_beehive,"Site away from foot traffic, near forage diversity"
swale,Swale,,water_feature,earthwork,temperate,n_a,erosion_control,0.5,1.5,full_sun,aquatic,n_a,2;3;4,n_a,permanent_structure,none,n_a,vetiver,,icon_water_swale,On-contour water harvesting earthwork
pond,Pond,,water_feature,water_body,temperate,n_a,habitat;pollinator_attractor,0,0,full_sun,aquatic,n_a,2;3,n_a,permanent_structure,none,n_a,taro,,icon_water_pond,Wildlife habitat + irrigation reserve + microclimate
rainwater_tank,Rainwater Harvesting Tank,,water_feature,storage,temperate,n_a,none,2,1,full_sun,low,n_a,1,n_a,permanent_structure,none,n_a,,,icon_water_tank,"Roof-fed storage, site near highest-demand zone"
compost_bin,Compost Bin,,structure,soil_building,temperate,n_a,mulch_producer,1,1,partial_shade,medium,n_a,1;2,n_a,permanent_structure,none,n_a,,,icon_structure_compost,Site close to kitchen + garden for easy access
greenhouse,Greenhouse,,structure,growing_structure,temperate,n_a,none,2.5,3,full_sun,medium,n_a,1,n_a,permanent_structure,none,n_a,,,icon_structure_greenhouse,"Extends season, best in Zone 1 near the house"
polytunnel,Polytunnel,,structure,growing_structure,temperate,n_a,none,2.5,6,full_sun,medium,n_a,1;2,n_a,permanent_structure,none,n_a,,,icon_structure_polytunnel,Cheaper alternative to greenhouse at larger scale
raised_bed,Raised Bed,,structure,growing_structure,temperate,n_a,none,0.4,1.2,full_sun,medium,n_a,1,n_a,permanent_structure,none,n_a,,,icon_structure_raisedbed,Standard annual veg bed unit
gravel_path,Path (gravel),,structure,access,temperate,n_a,none,0,1,full_sun,low,n_a,1;2;3,n_a,permanent_structure,none,n_a,,,icon_structure_path_gravel,Access route element for the canvas
windbreak_hedge_mixed,Windbreak Hedge (mixed native),,structure,hedge_system,temperate,n_a,windbreak;habitat,4,2,full_sun,medium,tolerant_poor_soil,4;5,medium,permanent_structure,none,n_a,hawthorn_hedge;hazel_cobnut;alder_common;blackthorn_sloe;dogwood_common;spindle;guelder_rose,,icon_structure_windbreak,"Composite element — represents a planned hedge run, not a single plant"
